City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,thompson,55.7435,-97.8558,-18.87,97,100,2.43,CA,1708484833
1,peniscola,40.3359,0.3613,12.6,62,26,2.67,ES,1708484834
2,port-aux-francais,-49.35,70.2167,7.86,90,100,16.05,TF,1708484834
3,waitangi,-43.9535,-176.5597,15.46,63,14,2.68,NZ,1708484835
4,al bawiti,28.3492,28.8659,10.89,57,11,2.91,EG,1708484835
5,alice springs,-23.7,133.8833,36.75,20,2,3.09,AU,1708484836
6,ushuaia,-54.8,-68.3,7.81,71,0,2.57,AR,1708484836
7,invercargill,-46.4,168.35,15.57,70,64,4.92,NZ,1708484837
8,enewetak,11.3474,162.3373,26.12,80,100,11.44,MH,1708484837
9,kimbe,-5.5502,150.1429,26.91,89,99,2.26,PG,1708484838
10,nadym,65.5333,72.5167,-10.09,93,100,12.12,RU,1708484839
11,adamstown,-25.066,-130.1015,25.98,84,100,3.68,PN,1708484839
12,brisas de zicatela,15.8369,-97.0419,26.29,78,0,1.54,MX,1708484840
13,staraya stanitsa,48.35,40.2833,-4.98,87,100,2.41,RU,1708484841
14,talnakh,69.4865,88.3972,-16.55,87,100,8.82,RU,1708484842
15,albany,42.6001,-73.9662,-2.93,64,4,0.45,US,1708484554
16,lalganj,25.8667,85.1833,20.97,52,99,2.66,IN,1708484844
17,tindouf,27.6711,-8.1474,16.05,30,0,3.53,DZ,1708484845
18,jamestown,42.097,-79.2353,3.17,75,13,0.89,US,1708484588
19,carrigaline,51.8117,-8.3986,10.86,100,75,10.8,IE,1708484846
20,nishinoomote,30.7333,131.0,21.55,84,100,6.9,JP,1708484847
21,ribeira grande,38.5167,-28.7,17.1,89,100,8.05,PT,1708484848
22,kristiansund,63.1115,7.732,4.36,75,75,4.12,NO,1708484848
23,blackmans bay,-43.0167,147.3167,27.63,53,45,1.79,AU,1708484849
24,bilibino,68.0546,166.4372,-20.1,80,16,3.77,RU,1708484850
25,stanley,54.868,-1.6985,4.84,87,20,2.06,GB,1708484851
26,kapa'a,22.0752,-159.319,24.18,59,0,3.6,US,1708484851
27,margaret river,-33.95,115.0667,21.26,66,94,7.07,AU,1708484852
28,cabo san lucas,22.8909,-109.9124,24.61,46,0,2.57,MX,1708484623
29,iskateley,67.6803,53.1512,-14.99,91,92,4.47,RU,1708484853
30,awjilah,29.1081,21.2869,11.59,54,0,1.98,LY,1708484854
31,vernon,50.2581,-119.2691,6.45,93,100,1.03,CA,1708484596
32,bethel,41.3712,-73.414,-2.49,62,0,1.54,US,1708484831
33,qaqortoq,60.7167,-46.0333,-3.67,71,100,3.49,GL,1708484856
34,pyapon,16.2833,95.6833,26.36,53,41,4.0,MM,1708484857
35,kizilyurt,43.207,46.8679,3.45,75,100,1.53,RU,1708484857
36,papatowai,-46.5619,169.4708,14.36,69,96,3.37,NZ,1708484858
37,portland,45.5234,-122.6762,10.71,82,100,4.12,US,1708484790
38,avarua,-21.2078,-159.775,26.03,100,75,3.09,CK,1708484719
39,iquique,-20.2208,-70.1431,22.01,82,5,0.56,CL,1708484859
40,anadyr,64.75,177.4833,-16.72,84,75,3.58,RU,1708484860
41,atafu village,-8.5421,-172.5159,28.93,73,15,1.93,TK,1708484861
42,urucui,-7.2294,-44.5561,22.84,96,100,1.04,BR,1708484861
43,tiksi,71.6872,128.8694,-33.24,95,43,2.3,RU,1708484862
44,grytviken,-54.2811,-36.5092,2.72,85,100,4.87,GS,1708484862
45,isafjordur,66.0755,-23.124,-5.43,91,100,1.97,IS,1708484863
46,toliara,-23.35,43.6667,25.48,78,50,2.74,MG,1708484863
47,samana,19.2056,-69.3369,23.7,87,97,1.65,DO,1708484864
48,edinburgh of the seven seas,-37.0676,-12.3116,17.67,71,99,7.21,SH,1708484864
49,antibes,43.5624,7.1278,14.21,65,0,4.12,FR,1708484865
50,georgetown,5.4112,100.3354,32.19,77,20,2.57,MY,1708484677
51,greenville,35.6127,-77.3663,5.07,73,0,2.57,US,1708484771
52,longyearbyen,78.2186,15.6401,-10.09,73,75,2.57,SJ,1708484866
53,hermanus,-34.4187,19.2345,18.22,82,91,4.13,ZA,1708484867
54,stalowa wola,50.5829,22.0533,4.36,92,72,0.89,PL,1708484867
55,port blair,11.6667,92.75,26.02,73,92,1.03,IN,1708484868
56,al jubayl,27.0112,49.6583,18.75,60,11,3.61,SA,1708484868
57,saipan,15.1355,145.701,29.39,58,40,10.98,MP,1708484869
58,college,64.8569,-147.8028,4.99,67,75,1.54,US,1708484869
59,codrington,-38.2667,141.9667,31.35,27,0,4.12,AU,1708484870
60,chonchi,-42.6128,-73.8092,16.18,89,89,1.21,CL,1708484871
61,opuwo,-18.0607,13.84,22.48,65,96,0.84,NA,1708484871
62,san luis de la loma,17.2706,-100.8939,25.17,61,0,3.15,MX,1708484872
63,west island,-12.1568,96.8225,30.99,62,94,3.09,CC,1708484872
64,howrah,22.5892,88.3103,26.0,83,20,2.06,IN,1708484873
65,boa vista,2.8197,-60.6733,28.99,42,0,3.6,BR,1708484873
66,yellowknife,62.456,-114.3525,-17.55,95,99,3.58,CA,1708484874
67,kiama,-34.6833,150.8667,26.11,70,100,2.6,AU,1708484856
68,chamical,-30.36,-66.314,25.42,46,69,4.01,AR,1708484875
69,weleri,-6.9713,110.0666,30.94,78,59,1.51,ID,1708484876
70,ismayilli,40.779,48.1638,2.15,98,97,1.27,AZ,1708484876
71,persembe,41.0656,37.7714,7.68,87,50,1.77,TR,1708484877
72,ta`u,-14.2336,-169.5144,28.11,81,100,7.32,AS,1708484877
73,barcelos,41.5388,-8.6151,12.14,76,96,1.55,PT,1708484878
74,pisco,-13.7,-76.2167,25.03,83,100,6.69,PE,1708484878
75,udachny,66.4167,112.4,-22.53,76,87,5.44,RU,1708484879
76,estevan,49.1334,-102.9842,-1.89,86,75,1.54,CA,1708484880
77,chernyshevskiy,63.0128,112.4714,-22.03,92,8,4.38,RU,1708484880
78,kidal,18.4411,1.4078,19.79,15,0,3.54,ML,1708484881
79,ilulissat,69.2167,-51.1,-1.99,40,0,9.26,GL,1708484881
80,whitehorse,60.7161,-135.0538,1.43,69,40,5.66,CA,1708484661
81,wailua homesteads,22.0669,-159.378,23.44,62,0,3.6,US,1708484882
82,iqaluit,63.7506,-68.5145,-26.84,68,75,7.72,CA,1708484883
83,la'ie,21.6477,-157.9253,25.98,59,50,3.13,US,1708484884
84,afaahiti,-17.75,-149.2833,29.48,79,75,2.97,PF,1708484884
85,laguna,38.421,-121.4238,11.33,92,100,2.57,US,1708484885
86,broken hill,-31.95,141.4333,35.21,16,33,5.75,AU,1708484886
87,zheleznogorsk,52.331,35.3711,-4.24,95,100,6.52,RU,1708484886
88,comodoro rivadavia,-45.8667,-67.5,15.92,88,20,3.09,AR,1708484601
89,chegdomyn,51.1167,133.0167,-19.74,77,95,2.06,RU,1708484887
90,kiunga,-6.1219,141.2906,25.68,91,100,0.07,PG,1708484888
91,znamenskoye,57.1281,73.8282,-28.64,94,95,2.12,RU,1708484888
92,carutapera,-1.195,-46.02,24.81,85,97,2.41,BR,1708484889
93,nemuro,43.3236,145.575,-4.91,57,95,1.76,JP,1708484889
94,prince albert,53.2001,-105.7677,-8.03,73,75,3.6,CA,1708484699
95,mayya,61.7333,130.2811,-30.94,86,100,3.37,RU,1708484890
96,aripuana,-9.1667,-60.6333,23.23,89,84,0.42,BR,1708484685
97,puerto ayora,-0.7393,-90.3518,26.42,96,100,2.59,EC,1708484891
98,lihue,21.9789,-159.3672,23.77,56,0,3.6,US,1708484892
99,kongolo,-5.3833,27.0,21.68,96,100,1.38,CD,1708484892
100,rexburg,43.826,-111.7897,2.73,75,0,2.57,US,1708484893
101,le vauclin,14.5452,-60.8388,24.03,83,20,2.06,MQ,1708484894
102,hawaiian paradise park,19.5933,-154.9731,23.91,71,20,4.12,US,1708484894
103,utrik,11.2278,169.8474,26.68,81,75,7.87,MH,1708484895
104,tromso,69.6496,18.957,-4.99,86,100,1.54,NO,1708484895
105,vilyuchinsk,52.9306,158.4028,-7.85,71,50,21.17,RU,1708484896
106,auki,-8.7676,160.7034,26.42,90,100,1.89,SB,1708484897
107,mao,39.8885,4.2658,10.31,93,0,2.57,ES,1708484898
108,puerto natales,-51.7236,-72.4875,7.32,90,8,0.37,CL,1708484899
109,porto novo,6.4965,2.6036,27.44,84,9,2.22,BJ,1708484899
110,aden,12.7794,45.0367,25.14,73,61,4.67,YE,1708484652
111,nanga eboko,4.6833,12.3667,24.19,81,100,1.83,CM,1708484900
112,sisimiut,66.9395,-53.6735,-8.98,82,100,4.34,GL,1708484901
113,sidlaghatta,13.3881,77.8628,23.05,55,60,3.17,IN,1708484901
114,ust-nera,64.5667,143.2,-28.94,92,70,1.59,RU,1708484902
115,kyren,51.6828,102.1408,-19.47,73,11,0.45,RU,1708484902
116,bryne,58.7354,5.6477,6.08,96,100,3.6,NO,1708484903
117,ghadamis,30.1337,9.5007,12.28,54,84,2.85,LY,1708484904
118,egilsstadir,65.2653,-14.3948,-1.5,84,69,2.45,IS,1708484904
119,saint-joseph,-21.3667,55.6167,23.21,81,100,4.73,RE,1708484905
120,beau vallon,-20.4189,57.6953,26.79,70,81,8.6,MU,1708484896
121,marka,1.7159,44.7717,26.12,81,100,6.34,SO,1708484906
122,weno,7.4515,151.8468,27.62,74,61,10.1,FM,1708484907
123,muli,2.9167,73.5667,27.81,82,100,6.17,MV,1708484907
124,port moresby,-9.4431,147.1797,25.0,94,100,6.46,PG,1708484908
125,dakhla,23.6848,-15.958,18.27,77,0,8.36,EH,1708484908
126,sangin,32.0728,64.8359,7.42,33,2,1.85,AF,1708484909
127,olonkinbyen,70.9221,-8.7187,0.04,99,100,6.78,SJ,1708484909
128,parauna,-16.9478,-50.4486,20.9,96,100,1.97,BR,1708484910
129,sur,22.5667,59.5289,22.32,63,7,0.49,OM,1708484911
130,taltal,-25.4,-70.4833,19.51,89,86,1.24,CL,1708484912
131,punta arenas,-53.15,-70.9167,6.06,81,0,4.12,CL,1708484912
132,hadibu,12.65,54.0333,23.76,80,20,1.77,YE,1708484913
133,kailua-kona,19.6406,-155.9956,25.98,67,75,2.57,US,1708484914
134,saudarkrokur,65.7461,-19.6394,-6.57,86,24,0.59,IS,1708484914
135,port elizabeth,-33.918,25.5701,19.06,91,18,1.34,ZA,1708484915
136,bethanie,-26.4833,17.15,21.59,30,22,1.06,NA,1708484915
137,quellon,-43.1167,-73.6167,14.46,96,100,2.63,CL,1708484916
138,beijing,39.9075,116.3972,-2.06,60,100,0.37,CN,1708484901
139,bull savanna,17.8868,-77.5902,21.29,79,28,4.01,JM,1708484917
140,usinsk,65.9939,57.5281,-9.7,90,100,8.23,RU,1708484918
141,panaba,21.2833,-88.2667,17.66,80,0,3.11,MX,1708484918
142,fada,9.5667,8.3,22.94,31,42,1.83,NG,1708484919
143,igarka,67.4667,86.5833,-17.32,94,100,11.46,RU,1708484920
144,alofi,-19.0595,-169.9187,28.94,89,75,4.63,NU,1708484920
145,castillos,-34.1667,-53.8333,21.59,74,78,3.38,UY,1708484921
146,santa elena de uairen,4.6167,-61.1333,21.48,54,87,2.08,VE,1708484921
147,gharghoda,22.1667,83.35,25.37,30,3,0.75,IN,1708484922
148,razgrad,43.5333,26.5167,4.83,74,100,1.0,BG,1708484923
149,selfoss,63.9331,-20.9971,1.14,82,100,10.85,IS,1708484923
150,kingston,17.997,-76.7936,24.53,82,75,5.66,JM,1708484742
151,port said,31.2565,32.2841,15.68,58,49,2.48,EG,1708484925
152,shingu,33.7333,135.9833,15.96,96,100,1.07,JP,1708484925
153,harper,4.375,-7.7169,27.22,87,93,2.94,LR,1708484926
154,hobyo,5.3505,48.5268,26.06,79,96,6.05,SO,1708484927
155,murun-kuren,49.6342,100.1625,-26.01,91,48,0.34,MN,1708484895
156,lanivtsi,49.8633,26.0908,4.38,94,99,4.24,UA,1708484928
157,hilo,19.7297,-155.09,24.6,75,20,4.12,US,1708484928
158,manzini,-26.25,31.5,17.6,96,0,0.94,SZ,1708484929
159,coronel dorrego,-38.7187,-61.2873,24.8,51,78,7.25,AR,1708484929
160,maralal,1.0968,36.698,16.25,80,99,2.01,KE,1708484930
161,mount gambier,-37.8333,140.7667,33.82,20,0,1.37,AU,1708484748
162,waingapu,-9.6567,120.2641,32.15,64,81,6.92,ID,1708484931
163,stettler,52.3168,-112.7186,-4.03,95,92,1.26,CA,1708484932
164,ain sefra,32.75,-0.5833,6.53,75,0,2.43,DZ,1708484932
165,mitu,1.1983,-70.1733,23.59,61,38,0.83,CO,1708484933
166,tazacorte,28.629,-17.9293,18.54,91,40,5.66,ES,1708484933
167,hamilton,39.1834,-84.5333,8.33,53,0,2.06,US,1708484756
168,masvingo,-20.0637,30.8277,15.26,86,0,1.27,ZW,1708484934
169,yatou,37.15,122.3833,-0.66,95,100,10.76,CN,1708484935
170,petropavlovsk-kamchatsky,53.0452,158.6483,-8.67,72,75,19.67,RU,1708484935
171,tsiombe,-25.3,45.4833,22.61,79,64,2.47,MG,1708484936
172,tura,25.5198,90.2201,23.4,53,0,1.02,IN,1708484936
173,kuloy,61.0305,42.4925,-7.17,93,100,3.95,RU,1708484937
174,coari,-4.085,-63.1414,24.29,72,51,1.44,BR,1708484938
175,lebu,-37.6167,-73.65,14.05,95,24,4.27,CL,1708484938
176,port mathurin,-19.6833,63.4167,27.05,69,40,9.26,MU,1708484659
177,les cayes,18.2,-73.75,24.11,84,76,3.98,HT,1708484939
178,hithadhoo,-0.6,73.0833,28.62,76,99,2.94,MV,1708484940
179,lisakovsk,52.5369,62.4936,-25.12,89,100,2.26,KZ,1708484941
180,crystal city,28.6775,-99.8281,20.06,40,0,2.06,US,1708484942
181,amuntai,-2.4177,115.2494,28.33,80,98,1.35,ID,1708484943
182,dalbandin,28.8947,64.4101,11.03,32,0,2.25,PK,1708484944
183,tazovsky,67.4667,78.7,-13.06,92,100,11.04,RU,1708484944
184,yamba,-5.9,22.3,22.75,90,100,1.0,CD,1708484945
185,belo jardim,-8.3356,-36.4242,22.61,92,100,2.1,BR,1708484946
186,lorengau,-2.0226,147.2712,25.95,91,100,3.59,PG,1708484946
187,languyan,5.2618,120.0807,29.35,68,97,3.04,PH,1708484947
188,fortuna,40.5982,-124.1573,11.63,92,100,2.57,US,1708484947
189,richards bay,-28.783,32.0377,21.76,84,8,3.6,ZA,1708484754
190,vorgashor,67.5833,63.95,-8.84,92,100,7.06,RU,1708484948
191,thames,-37.1333,175.5333,24.61,36,11,1.92,NZ,1708484949
192,sandnessjoen,66.0217,12.6316,1.29,85,85,8.03,NO,1708484949
193,voi,-3.3945,38.563,22.09,88,36,1.2,KE,1708484950
194,coquimbo,-29.9533,-71.3436,18.46,83,92,1.48,CL,1708484950
195,salalah,17.0151,54.0924,22.05,60,0,1.03,OM,1708484951
196,guantanamo,20.1444,-75.2092,22.76,77,96,4.42,CU,1708484951
197,souillac,-20.5167,57.5167,25.19,74,83,7.49,MU,1708484952
198,ponta delgada,37.7333,-25.6667,18.44,72,75,5.66,PT,1708484952
199,smithers,54.7804,-127.1743,0.48,84,91,0.4,CA,1708484953
200,hami,42.8,93.45,-4.9,31,17,2.03,CN,1708484953
201,kharagpur,22.3333,87.3333,28.06,29,2,1.9,IN,1708484954
202,lompoc,34.6391,-120.4579,14.94,86,100,2.57,US,1708484902
203,copala,16.65,-98.9833,25.35,55,0,2.71,MX,1708484955
204,klyuchi,52.2667,79.1667,-27.41,98,15,1.25,RU,1708484956
205,belmonte,-15.8631,-38.8828,26.17,88,100,4.12,BR,1708484956
206,basoko,1.2391,23.616,22.24,87,79,1.84,CD,1708484957
207,qamdo,31.1667,97.2333,-3.05,43,100,3.86,CN,1708484957
208,sinabang,2.4803,96.3801,26.94,81,98,1.31,ID,1708484958
209,kedrovyy,56.1667,91.8167,-28.77,88,88,1.91,RU,1708484959
210,hinton,53.4001,-117.5857,-1.23,97,100,0.24,CA,1708484960
211,ouadda,8.0777,22.4007,22.07,15,100,2.11,CF,1708484960
212,qianzhou,28.3167,109.7167,0.02,87,100,3.97,CN,1708484962
213,ha'il,27.5219,41.6907,10.01,62,0,1.03,SA,1708484962
214,shelburne,44.0787,-80.2041,-1.8,81,17,3.59,CA,1708484888
215,pakxan,18.3778,103.6601,33.04,39,38,2.03,LA,1708484963
216,guigue,10.0853,-67.7792,21.54,93,30,1.82,VE,1708484964
217,hilton head island,32.2163,-80.7526,8.06,74,0,0.0,US,1708484823
218,sao sebastiao,-23.76,-45.4097,23.74,93,89,0.35,BR,1708484715
219,inhambane,-23.865,35.3833,24.67,82,37,2.82,MZ,1708484966
220,terenozek,45.05,64.9833,-5.1,80,97,2.33,KZ,1708484967
221,floro,61.5996,5.0328,4.98,93,100,2.57,NO,1708484968
222,yunyang,33.4474,112.7142,-5.69,92,100,8.36,CN,1708484968
223,vorkuta,67.5,64.0,-8.52,92,100,6.9,RU,1708484969
224,mersa matruh,31.3525,27.2453,13.45,65,0,1.9,EG,1708484969
225,maun,-19.9833,23.4167,22.18,46,0,2.97,BW,1708484970
226,walvis bay,-22.9575,14.5053,16.72,84,94,3.0,NA,1708484970
227,bayganin,48.6947,55.8742,-17.59,94,43,2.99,KZ,1708484971
228,barra de santo antonio,-9.4047,-35.5072,26.6,86,85,3.79,BR,1708484756
229,tommot,58.9564,126.2925,-16.95,89,100,6.67,RU,1708484972
230,pavlogradka,54.2024,73.5592,-28.23,95,99,3.26,RU,1708484973
231,gadzhiyevo,69.2551,33.3362,-16.48,97,61,3.88,RU,1708484973
232,tobruk,32.0836,23.9764,13.13,71,0,3.07,LY,1708484974
233,bois-le-roi,48.4735,2.7046,7.32,95,100,3.13,FR,1708484975
234,bougouni,11.417,-7.479,22.29,16,31,2.78,ML,1708484976
235,belfast,54.5833,-5.9333,7.99,88,40,7.2,GB,1708484940
236,tekman,39.6436,41.5078,-3.05,95,64,1.85,TR,1708484978
237,kattivakkam,13.2167,80.3167,26.05,69,14,4.3,IN,1708484978
238,contai,21.7786,87.7536,27.61,41,0,2.65,IN,1708484979
239,arauca,7.0847,-70.7591,28.6,38,44,2.1,CO,1708484979
240,nar'yan-mar,67.6713,53.087,-14.94,91,90,4.47,RU,1708484861
241,harrison,30.4091,-89.0436,14.04,81,0,1.54,US,1708484913
242,sinjai,-5.1241,120.253,31.2,65,82,2.57,ID,1708484981
243,yerofey pavlovich,53.9667,121.9667,-16.73,63,14,2.05,RU,1708484982
244,murghob,38.1702,73.9667,-24.63,87,15,1.86,TJ,1708484982
245,tolanaro,-25.0319,46.9987,21.37,88,56,4.1,MG,1708484983
246,holualoa,19.6228,-155.9522,23.91,68,75,2.57,US,1708484983
247,okha,53.5739,142.9478,-21.57,76,52,9.37,RU,1708484984
248,constantia,44.1833,28.65,2.61,87,100,2.35,RO,1708484985
249,salekhard,66.53,66.6019,-7.48,86,98,8.79,RU,1708484985
250,page,36.9147,-111.4558,11.88,45,0,2.24,US,1708484939
251,prado,-17.3411,-39.2208,24.28,95,100,3.76,BR,1708484987
252,urengoy,65.9667,78.3667,-15.06,90,100,10.87,RU,1708484987
253,boca chica,18.4537,-69.6111,24.06,94,75,0.0,DO,1708484988
254,scottsbluff,41.8666,-103.6672,10.62,56,0,3.09,US,1708484989
255,recani,31.2846,-4.2688,12.5,38,0,3.02,MA,1708484989
256,molteno,-31.3968,26.3625,15.95,67,11,1.73,ZA,1708484990
257,anaconda,46.1285,-112.9423,1.55,88,95,2.71,US,1708484990
258,tofol,5.3248,163.0078,30.88,74,100,7.2,FM,1708484991
259,san patricio,28.017,-97.5169,19.91,86,0,5.55,US,1708484991
260,ouezzane,34.7971,-5.5822,11.61,53,32,2.01,MA,1708484992
261,franklin,39.9667,-83.0166,3.67,65,20,1.54,US,1708484992
262,champerico,14.3,-91.9167,26.33,73,0,2.41,GT,1708484993
263,dryden,49.7833,-92.7503,-6.22,97,77,1.42,CA,1708484994
264,kirakira,-10.4544,161.9205,29.3,78,100,4.3,SB,1708484994
265,cidade velha,14.9167,-23.6167,23.26,83,100,7.72,CV,1708484995
266,forster,-32.1667,152.5167,26.88,77,87,3.16,AU,1708484995
267,birobidzhan,48.8,132.95,-15.66,65,11,5.18,RU,1708484996
268,popondetta,-8.7537,148.2534,27.77,79,100,0.63,PG,1708484997
269,queenstown,-31.8976,26.8753,15.4,88,0,0.91,ZA,1708484998
270,amos,48.5669,-78.1162,-9.9,95,66,3.37,CA,1708484999
271,ratnagiri,16.9833,73.3,24.29,56,0,3.98,IN,1708484999
272,princeville,45.7668,-61.2985,-6.43,69,89,4.47,CA,1708485000
273,sihanoukville,10.6093,103.5296,29.97,70,40,2.57,KH,1708484844
274,lucas,41.6501,-83.6666,4.17,70,0,3.09,US,1708485002
275,labrador city,52.9463,-66.9114,-26.57,71,92,4.4,CA,1708485003
276,freetown,8.484,-13.2299,25.62,85,75,2.27,SL,1708485004
277,tamandare,-8.7597,-35.1047,26.56,86,68,3.21,BR,1708485005
278,yeppoon,-23.1333,150.7333,31.88,60,98,4.05,AU,1708485006
279,mogadishu,2.0371,45.3438,26.46,81,100,7.26,SO,1708485006
280,fale old settlement,-9.3852,-171.2468,28.48,75,90,2.73,TK,1708485007
281,kilindoni,-7.9139,39.6668,28.07,82,49,5.58,TZ,1708485008
282,port saint john's,-31.6229,29.5448,21.91,92,2,1.63,ZA,1708485009
283,campoverde,-8.4753,-74.8058,28.83,97,98,0.53,PE,1708485009
284,kermit,31.8576,-103.0927,22.08,12,0,5.14,US,1708485010
285,namibe,-15.1961,12.1522,25.24,59,91,1.28,AO,1708485011
286,askoy,60.4092,5.226,5.16,100,100,2.57,NO,1708485012
287,verkhnevilyuysk,63.4453,120.3167,-21.32,95,99,4.13,RU,1708485012
288,sao vicente,-23.9631,-46.3919,24.1,26,98,1.64,BR,1708485013
289,crawfordsville,40.0411,-86.8745,8.17,60,0,2.57,US,1708485014
